"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","自由が丘","自由が丘(東京)",10,150000000,130,"","",190,"1999年","木造","","","南","私道",3.4,"１低住専",50,100,"2022年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","洗足","洗足",5,61000000,65,"","",65,"2006年","木造","","","南","私道",4,"１低住専",50,100,"2022年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","目黒本町","武蔵小山",10,76000000,60,"","",80,"2022年","木造","","","東","私道",4,"１種住居",60,200,"2022年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","目黒本町","学芸大学",15,30000000,100,"","",40,"2005年","木造","","","南","公道",3.2,"１種住居",60,160,"2022年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","目黒本町","武蔵小山",10,80000000,65,"","",100,"1995年","木造","","","西","公道",4,"１種住居",60,172,"2022年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","洗足","洗足",5,120000000,120,"","",100,"2014年","木造","","","東","私道",4.5,"１低住専",50,100,"2022年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","中根","都立大学",5,95000000,65,"","",95,"2004年","木造","","","西","私道",4,"１中住専",60,200,"2022年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","目黒本町","西小山",15,68000000,70,"","",75,"1996年","木造","","","東","私道",3.1,"１中住専",60,200,"2022年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","目黒本町","武蔵小山",10,230000000,195,"","",200,"1987年","木造","","","南西","公道",4.3,"１種住居",60,200,"2022年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","中町","祐天寺",10,130000000,155,"","",120,"1993年","木造","","","東","私道",3.6,"１種住居",60,200,"2022年第1四半期",""
